sentence	author	title	allusion	variation_number	allusion_index	transformed_allusion
外融百骸畅，中适一念无。	白居易	负冬日		0		
但看八九月，胡虏乱中原。	不详	清泰三年歌		0		
春烟间草色，春鸟隔花声。	皎然	和邢端公登台春望句句有春字之什		0		
小亭中何有，素琴对黄卷。	白居易	朝课		0		
舍大以谋细，虬盘而蠖伸。	元稹	四皓庙		0		
灞岸秋犹嫩，蓝桥水始喧。	杜牧	奉送中丞姊夫俦自大理卿出镇江西叙事书怀因成十二韵		0		
药饵憎加减，门庭闷扫除。	杜甫	秋清		0		
扬鞭簇车马，挥手辞亲故。	白居易	初出城留别		0		
忽见渊洄，丹崖千仞。	元结	丹崖翁宅铭		0		
茂先洽闻者，幽赜咸该通。	吴筠	览古十四首 其十三		0		
追维哲王，必赖良弼。	李适	宸扆台衡二铭 其二 台衡铭		0		
此盘不进行路难，陆有摧车舟有澜。	元稹	华之巫		0		
青桂巾箱时寄药，白纶卧具半抛书。	皮日休	新秋即事三首 其三		0		
冻涧冰难释，秋山日易阴。	灵一	于潜道中呈元八处士		0		
一条邛杖悬龟榼，双角吴童控马衔。	白居易	东城晚归		0		
芳意羡何物，双双鸂鶒游。	王贞白	独芙蓉		0		
喧聒茅檐下，或坐或复起。	王维	偶然作六首 其二		0		
泛毓字孤，郗鉴吐哺。	李瀚	蒙求		0		
何三光之并照兮，奄云雨之冥冥。	元稹	有酒十章 其四		0		
古来得意不相负，祗今惟有青陵台。	李白	其二 白头吟二首		0		
纵然一夜风吹去，只在芦花浅水边。	司空曙	江村即事		0		
天道福谦，我则奉天。	吕温	皇帝亲庶政颂		0		
走马脱辔头，手中挑青丝。	杜甫	前出塞九首 其二		0		
燕客书方诈，尧门信未孚。	李绅	趋翰苑遭诬搆四十六韵		0		
汗漫一游何可期，后来谁遇冰雪姿。	皎然	奉和颜鲁公真卿落玄真子舴艋舟歌		0		
天色晴明少，人生事故多。	白居易	同诸客携酒早看樱桃花		0		
踟蹰未死间，何苦怀百忧。	白居易	效陶潜体诗十六首 其十一		0		
碑寒树古神门上，管得无穷空白云。	子兰	寄乾陵杨侍郎		0		
忽遇解空人，放旷在林薮。	天然	又颂		0		
牧羊边地苦，落日归心绝。	李白	苏武		0		
杨花满江来，疑是龙山雪。	李白	题瓜州新河饯族叔舍人贲		0		
传闻共甲子，衰隤尽枯槁。	元稹	和乐天赠吴丹		0		
不虞一蹶终损伤，人生快意多所辱。	杜甫	醉为马坠诸公携酒相看		0		
更有迁乔意，翩翩出谷莺。	李程	春台晴望		0		
桐阴覆井月斜明，百尺寒泉古甃清。	李郢	晓井		0		
披云睹日兮日则明，就日瞻云兮心若惊。	李邕	日赋附歌		0		
头陀悬万仞，远眺望华峰。	李白	宿无相寺		0		
念此杳如梦，凄然伤我情。	李白	对酒忆贺监二首 其二		0		
风雨旋来海角清，神仙乱下祥花坠。	敦煌曲子	失调名 祥花坠		0		
酒泉西望玉关道，千山万碛皆白草。	岑参	赠酒泉韩太守		0		
河堤往往人相送，一曲晴川隔蓼花。	司空图	寓居有感三首 其二		0		
君今酷爱人间事，争得安闲老在兹。	杜荀鹤	题汪氏茅亭		0		
