allusion	variation_list
桃源（陶潜）	['武陵溪', '桃花源', '桃花流水', '武陵源', '桃源路', '武陵春', '避秦人', '武陵人', '桃花洞', '桃源人', '不知秦', '桃源客', '桃源', '桃源境', '武陵洞', '洞中人', '武陵客', '武陵桃花', '桃源鸡犬', '不知有汉', '武陵路', '秦洞', '武陵水', '见秦人', '问秦人', '源桃', '流水桃源', '避世桃源', '武陵事', '源花', '秦人鸡犬', '花源', '秦人迹', '秦人路', '避秦', '秦人溪', '逃秦人', '武陵趣', '隐桃花', '避秦村', '迷武陵', '如今不是秦', '桃花闭洞门', '闻犬洞', '避秦溪', '洞犬谢秦人', '秦汉迷', '秦人南避', '秦人桃花', '秦世客', '秦渔', '如今已是汉', '山中秦晋', '逃秦', '桃花白云', '桃散武陵霞', '桃源士', '武陵', '嫌秦', '寻源', '避秦路', '不识东西晋', '晋客入洞', '秦客', '秦人洞天', '桃花迷洞口', '桃源土', '仙源', '源水无路']
阳台（宋玉，楚襄王，瑶姬）	['朝云暮雨', '楚襄王', '楚王台', '楚台', '暮雨朝云', '襄王梦', '阳台梦', '巫峡云', '高唐赋', '梦尽失欢', '巫山雨', '巫山云', '楚梦', '高唐梦', '高阳人', '阳台雨', '巫峡梦', '为云为雨', '巫山女', '巫山云雨', '阳台云', '云雨梦', '阳台云雨', '神女赋', '行云行雨', '云雨巫山', '高唐云', '巫娥', '巫山神女', '神女梦', '寄朝云', '云阳台', '断云残雨', '高唐神女', '高阳客', '梦高唐', '雨散云收', '神女雨', '阳台女', '楚台云', '断雨残云', '荆王梦', '朝暮雨', '高唐雨', '行雨行云', '云飞雨散', '断云零雨', '神女云', '梦神女', '阳台行雨', '阳云台', '暮为行雨', '巫山暮', '云雨阳台', '入梦人', '楚台人', '赋行云', '巫雨', '襄王云雨', '阳台神女', '楚王神女', '淡云轻雨', '高唐十二峰', '瑶姬梦', '除却巫山', '楚峡云归', '梦襄王', '巫山枕', '阳台暮雨', '阳台一片云', '荐梦', '怯雨羞云', '宋玉赋高唐', '阳台神', '云归楚峡', '云散高唐', '楚山云雨', '楚水梦', '梦落巫山', '神女', '蜀山梦', '巫云蜀雨', '无梦到阳台', '峡云巫雨', '襄王意', '行云带雨', '雨暮云朝', '雨润云温', '雨沾云惹', '云容雨态', '彩云梦断', '痴云騃雨', '楚峰云', '楚台梦', '楚云巫雨', '荒淫归楚襄', '为云女', '巫阳云雨仙', '香云入梦', '襄王春梦', '阳台', '云飘雨送', '爱雨怜云', '朝暮云雨', '楚台赋客', '楚台魂', '楚天朝雨', '楚王惊梦', '楚襄游梦', '拂楚王', '高阳暮雨', '汉上行云', '化朝云', '荐梦无云雨', '荆王神女', '丽赋朝云', '梦识阳台', '梦峡云归', '梦瑶姬', '梦云', '暮洒朝行', '腻雨娇云', '浓云骤雨', '神人入梦', '殢襄王', '晚云朝雨', '巫岭荆台', '巫阳归梦', '巫阳云气', '兴寻巫峡', '雨暗阳台', '雨魄云魂', '雨酡云醉', '雨歇巫娥', '云藏巫峡', '云朝暮雨', '云交雨合', '彩云下巫峰', '楚环巫峡', '楚襄恨', '荆国朝云', '荆台暮雨', '荆王暮雨', '精爽行云', '来云去雨', '灵雨灵云', '孟阳台', '梦雨', '蜀烟峡雨', '问云楚女', '巫娥含雨', '巫峡云雨', '巫云', '行云湿仙衣', '阳台楚云', '一枕高唐仙梦', '郢梦', '雨梦', '雨期云约', '云情']
吹箫（弄玉，秦穆公，萧史）	['凤凰台', '凤凰楼', '秦女', '凤箫声', '萧台', '秦箫', '吹箫侣', '弄玉箫', '丹凤城', '箫史', '仙史', '乘鸾女', '凤女', '箫凤', '秦王女', '学凤鸣', '吹箫伴', '弄玉吹箫', '嬴女', '凤城', '秦弄玉', '逐凤凰', '吹箫女', '骑丹凤', '仙人凤', '嬴女吹箫', '骑凤凰', '秦鸾', '秦女箫', '秦楼客', '台上吹箫', '吹凤箫', '吹箫伴侣', '凤女台', '乘龙人', '吹箫', '吹箫仙子', '凤不回', '鸣凤楼', '箫史凤', '弄碧箫', '秦家楼', '秦玉', '萧史伴', '箫声去', '帝子乘鸾', '秦楼', '秦台箫', '萧史凤', '肠断秦台', '凤楼', '控双鸾', '跨凤吹箫', '骑鸾女', '秦妃', '秦女鸾', '箫声飞去', '嬴女乘鸾', '彩箫凤侣', '层台凤舞', '乘凤仙人', '乘龙骑凤', '乘鸾姿', '凤凰声断', '教箫楼', '楼上吹箫人', '鸾凤匹', '秦娥', '秦楼凤吹', '秦楼萧史伴', '秦楼夜约', '秦箫声', '仙鸾彩凤', '萧郎赤凤', '箫女', '箫奏秦台', '嬴台女', '玉箫', '骖鸾', '骖鸾侣', '骖鸾仙子', '乘龙骑女', '乘鸾', '凤不返', '凤吹台', '凤翻萧曲', '凤翻箫曲', '凤楼吹箫', '凤去台空', '凤去遗箫', '凤笙', '凤台', '凤箫', '弄玉', '弄玉萧史', '秦凤', '秦楼吹箫', '秦台', '秦台凤去', '随凤史', '台空凤不来', '祥凤', '萧郎', '萧史', '萧氏夫妇', '萧玉和鸣', '学凤', '嬴女弄箫', '嬴台共吹']
桂枝（郤诜）	['昆山玉', '擢桂', '桂一枝', '郤诜', '桂折', '一枝桂', '攀仙桂', '一枝丹桂', '一枝仙桂', '昆山片玉', '一枝荣', '东堂桂', '桂科', '折桂', '桂枝', '昆山一片', '攀桂', '郤枝', '东堂策', '东堂梦', '片玉', '丹桂', '桂树', '一枝高折', '东堂第一', '诜桂', '郤诜丹桂', '郤诜枝', '桂苑一枝', '青桂', '诜枝', '失桂', '郗枝', '郤诜第', '仙桂', '折月中枝', '丹枝', '东堂桂树', '芳桂', '桂香', '郤诜策', '郤诜高第', '郤诜联臂', '东堂才', '桂籍', '荐东堂', '昆玉', '手中有桂', '郤家兄弟', '郤堂桂', '折桂高枝']
白雪（宋玉）	['阳春曲', '阳春白雪', '郢歌', '巴里', '郢雪', '歌阳春', '巴曲', '巴音', '曲高和寡', '郢唱', '雪唱', '阳春寡和', '白雪', '阳春', '唱高和寡', '巴歌', '郢词', '郢中春雪', '巴人', '歌春曲', '难和曲', '郢客', '郢曲', '唱高', '调高难和', '寡和', '寡和清歌', '曲高', '雪满琴', '郢篇', '郢声', '郢吟', '和寡', '下里', '雪曲', '郢律']
蓬莱	['蓬莱岛', '海上山', '瀛岛', '海上三山', '方蓬', '海中山', '入海求', '蓬莱宫殿', '蓬莱', '三岛', '蓬莱仙岛', '蓬瀛', '蓬壶', '三山', '瀛洲', '蓬莱仙馆', '蓬山', '蓬岛', '蓬莱银阙', '员峤波翻', '方壶', '方丈', '蓬邱', '蓬丘', '三壶', '五山', '员峤']
紫芝（刘邦，夏黄公，东园公，甪里先生，绮里季，四皓）	['黄绮', '园绮', '紫芝曲', '紫芝歌', '商皓', '商山四皓', '绮园', '商老', '商山翁', '四老人', '绮皓', '歌紫芝', '商山芝', '商山老', '商山皓', '四翁', '紫芝翁', '商山四老', '商翁', '绮季', '紫芝', '紫芝客', '商山紫芝', '赋紫芝', '甪里', '紫芝侣', '商山', '紫芝叟', '黄公', '角绮园黄', '绮园浪出', '商岭四翁', '园公', '园公芝草', '绮里', '商岩', '商颜', '四皓', '四老', '夏季']
谢朓	['谢宣城', '谢玄晖', '宣城守', '谢公', '小谢', '谢朓', '谢家为郡', '谢守', '宣城逸韵', '玄晖']
陶潜	['陶渊明', '陶靖节', '陶彭泽', '陶元亮', '彭泽令', '靖节先生', '彭泽宰', '陶公', '陶家', '泉明', '渊明', '陶令', '陶潜', '靖节', '彭泽', '元亮']
沧浪（屈原）	['濯尘缨', '濯沧浪', '逢渔父', '濯我缨', '孺子歌', '解尘缨', '渔父笑', '沧浪', '鼓枻歌', '沧浪濯缨', '濯缨', '思濯缨', '濯沧浪缨', '沧浪之水', '渔父濯沧浪', '渔父', '缨濯', '濯发沧浪', '渔父足', '尘缨欲濯', '鼓枻翁', '论浊清', '濯足', '沧浪未濯', '净濯兰缨', '值渔父', '濯楚臣缨', '濯冠巾']
